image_filename,vehicle_type,vehicle_label
Car_439.jpeg,Car,1
Bike_1660.jpeg,Bike,0
Car_359.jpeg,Car,1
Bike_372.jpeg,Bike,0
Bike_964.jpeg,Bike,0
Bike_1860.jpeg,Bike,0
Bike_811.jpeg,Bike,0
Bike_604.jpeg,Bike,0
Car_1404.jpeg,Car,1
Car_438.jpeg,Car,1
Car_1442.jpeg,Car,1
Car_1460.jpeg,Car,1
Bike_1008.jpeg,Bike,0
Car_633.jpeg,Car,1
Bike_553.jpeg,Bike,0
Car_590.jpeg,Car,1
Bike_1035.jpeg,Bike,0
Bike_1439.jpeg,Bike,0
Bike_1621.jpeg,Bike,0
Car_1723.jpeg,Car,1
Bike_924.jpeg,Bike,0
Bike_1861.jpeg,Bike,0
Car_1296.jpeg,Car,1
Bike_588.jpeg,Bike,0
Bike_34.jpeg,Bike,0
Car_973.jpeg,Car,1
Bike_1512.jpeg,Bike,0
Bike_17.jpeg,Bike,0
Bike_1733.jpeg,Bike,0
Car_355.jpeg,Car,1
Bike_261.jpeg,Bike,0
Bike_1275.jpeg,Bike,0
Car_1020.jpeg,Car,1
Bike_898.jpeg,Bike,0
Bike_1012.jpeg,Bike,0
Bike_1663.jpeg,Bike,0
Car_1243.jpeg,Car,1
Car_938.jpeg,Car,1
Bike_118.jpeg,Bike,0
Bike_1198.jpeg,Bike,0
Bike_754.jpeg,Bike,0
Car_1968.jpeg,Car,1
Car_55.jpeg,Car,1
Bike_1367.jpeg,Bike,0
Bike_1924.jpeg,Bike,0
Bike_728.jpeg,Bike,0
Car_605.jpeg,Car,1
Car_1511.jpeg,Car,1
Bike_235.jpeg,Bike,0
Bike_448.jpeg,Bike,0
Bike_125.jpeg,Bike,0
Car_386.jpeg,Car,1
Car_1060.jpeg,Car,1
Car_690.jpeg,Car,1
Bike_997.jpeg,Bike,0
Bike_1554.jpeg,Bike,0
Bike_334.jpeg,Bike,0
Bike_531.jpeg,Bike,0
Car_327.jpeg,Car,1
Car_1091.jpeg,Car,1
Car_992.jpeg,Car,1
Car_657.jpeg,Car,1
Car_1870.jpeg,Car,1
Car_751.jpeg,Car,1
Bike_1259.jpeg,Bike,0
Car_1188.jpeg,Car,1
Car_367.jpeg,Car,1
Bike_1495.jpeg,Bike,0
Bike_480.jpeg,Bike,0
Bike_1055.jpeg,Bike,0
Bike_1448.jpeg,Bike,0
Bike_238.jpeg,Bike,0
Car_1522.jpeg,Car,1
Bike_778.jpeg,Bike,0
Car_1892.jpeg,Car,1
Car_1223.jpeg,Car,1
Bike_1015.jpeg,Bike,0
Bike_1628.jpeg,Bike,0
Bike_1289.jpeg,Bike,0
Bike_389.jpeg,Bike,0
Bike_277.jpeg,Bike,0
Bike_758.jpeg,Bike,0
Bike_1745.jpeg,Bike,0
Bike_612.jpeg,Bike,0
Car_1190.jpeg,Car,1
Car_950.jpeg,Car,1
Car_1309.jpeg,Car,1
Bike_1060.jpeg,Bike,0
Bike_364.jpeg,Bike,0
Car_990.jpeg,Car,1
Bike_1717.jpeg,Bike,0
Bike_1077.jpeg,Bike,0
Car_1911.jpeg,Car,1
Bike_1390.jpeg,Bike,0
Car_1385.jpeg,Car,1
Car_748.jpeg,Car,1
Car_162.jpeg,Car,1
Car_1822.jpeg,Car,1
Car_726.jpeg,Car,1
Car_1061.jpeg,Car,1
Car_248.jpeg,Car,1
Bike_1559.jpeg,Bike,0
Bike_1979.jpeg,Bike,0
Car_1783.jpeg,Car,1
Car_792.jpeg,Car,1
Car_1189.jpeg,Car,1
Bike_76.jpeg,Bike,0
Bike_1480.jpeg,Bike,0
Car_1521.jpeg,Car,1
Bike_209.jpeg,Bike,0
Bike_605.jpeg,Bike,0
Car_1115.jpeg,Car,1
Bike_292.jpeg,Bike,0
Car_1256.jpeg,Car,1
Car_995.jpeg,Car,1
Car_717.jpeg,Car,1
Car_746.jpeg,Car,1
Bike_456.jpeg,Bike,0
Car_599.jpeg,Car,1
Bike_1535.jpeg,Bike,0
Bike_234.jpeg,Bike,0
Bike_453.jpeg,Bike,0
Car_724.jpeg,Car,1
Car_1967.jpeg,Car,1
Car_1748.jpeg,Car,1
Bike_1546.jpeg,Bike,0
Bike_1968.jpeg,Bike,0
Bike_1210.jpeg,Bike,0
Car_232.jpeg,Car,1
Car_1341.jpeg,Car,1
Car_523.jpeg,Car,1
Car_166.jpeg,Car,1
Bike_516.jpeg,Bike,0
Car_613.jpeg,Car,1
Car_1909.jpeg,Car,1
Bike_1238.jpeg,Bike,0
Car_683.jpeg,Car,1
Bike_167.jpeg,Bike,0
Car_823.jpeg,Car,1
Bike_593.jpeg,Bike,0
Bike_1926.jpeg,Bike,0
Bike_1336.jpeg,Bike,0
Bike_1061.jpeg,Bike,0
Bike_299.jpeg,Bike,0
Car_1572.jpeg,Car,1
Bike_126.jpeg,Bike,0
Bike_1686.jpeg,Bike,0
Bike_1482.jpeg,Bike,0
Bike_41.jpeg,Bike,0
Car_388.jpeg,Car,1
Bike_680.jpeg,Bike,0
Car_812.jpeg,Car,1
Car_1391.jpeg,Car,1
Car_1414.jpeg,Car,1
Car_1350.jpeg,Car,1
Car_378.jpeg,Car,1
Car_143.jpeg,Car,1
Car_3.jpeg,Car,1
Car_210.jpeg,Car,1
Car_351.jpeg,Car,1
Car_1686.jpeg,Car,1
Bike_1781.jpeg,Bike,0
Bike_1365.jpeg,Bike,0
Car_156.jpeg,Car,1
Car_851.jpeg,Car,1
Bike_45.jpeg,Bike,0
Car_1163.jpeg,Car,1
Car_591.jpeg,Car,1
Bike_1920.jpeg,Bike,0
Bike_1948.jpeg,Bike,0
Bike_244.jpeg,Bike,0
Car_697.jpeg,Car,1
Bike_1985.jpeg,Bike,0
Bike_514.jpeg,Bike,0
Bike_973.jpeg,Bike,0
Bike_343.jpeg,Bike,0
Car_1346.jpeg,Car,1
Car_280.jpeg,Car,1
Bike_1934.jpeg,Bike,0
Car_864.jpeg,Car,1
Car_458.jpeg,Car,1
Car_186.jpeg,Car,1
Bike_1421.jpeg,Bike,0
Bike_1465.jpeg,Bike,0
Bike_272.jpeg,Bike,0
Car_1280.jpeg,Car,1
Bike_1613.jpeg,Bike,0
Bike_1564.jpeg,Bike,0
Car_698.jpeg,Car,1
Car_1484.jpeg,Car,1
Bike_1235.jpeg,Bike,0
Bike_1533.jpeg,Bike,0
Bike_1245.jpeg,Bike,0
Bike_1722.jpeg,Bike,0
Bike_889.jpeg,Bike,0
Bike_772.jpeg,Bike,0
Bike_978.jpeg,Bike,0
Car_1630.jpeg,Car,1
Car_1648.jpeg,Car,1
Car_138.jpeg,Car,1
Bike_853.jpeg,Bike,0
Bike_406.jpeg,Bike,0
Bike_1637.jpeg,Bike,0
Car_927.jpeg,Car,1
Bike_1025.jpeg,Bike,0
Car_1939.jpeg,Car,1
